#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Android Studio,@AndroidStudio,2026-03-06T18:00:00.000Z,"Say goodbye to boilerplate starter templates that just get you to the start line.

The AI-powered New Project flow simplifies development → 
https://
goo.gle/4rgOAHN

 Detailed project plans
 Built with Kotlin and Compose
 Test it on your emulator or your Android device",2,15,76,3464,https://x.com/AndroidStudio/status/2029980330313011437
2,gabriel,@gabriel1,2026-03-26T02:23:25.000Z,hello friends,95,1,205,4593,https://x.com/gabriel1/status/2036992387004981642
3,Tibo,@thsottiaux,2026-03-26T02:03:49.000Z,For the avoidance of doubt. The Codex App is here to stay. We are just investing way more into it than before and it's about to get quite awesome,81,31,646,19426,https://x.com/thsottiaux/status/2036987453924663716
4,NZ,@CodeByNZ,2026-03-25T08:33:10.000Z,OpenAI's latest repo has Claude as the third top contributor,112,303,5700,351480,https://x.com/CodeByNZ/status/2036723050197012771
5,Google Gemini,@GeminiApp,2026-03-26T01:03:34.000Z,"Lyria 3 Pro’s enhanced customization offers more space to experiment and play with longer tracks, so you can now add more details to bring your full vision to life in Gemini.",12,27,168,9902,https://x.com/GeminiApp/status/2036972294632071494
6,Google Gemini,@GeminiApp,2026-03-26T01:06:10.000Z,"Lyria 3 Pro is rolling out today to Google AI Plus, Pro, and Ultra users. Get started at 
http://
gemini.google.com/music or in the Gemini mobile app by choosing “Create Music” in the tools menu and select “Thinking” or “Pro” from the model picker.",1,3,20,5095,https://x.com/GeminiApp/status/2036972945881653298
7,Noah Zweben,@noahzweben,2026-03-26T00:19:27.000Z,Remote Control users - please update your mobile app! We have some breaking changes coming in next few days that should significantly improve the experience.   We'll release when enough of you have upgraded,23,14,215,8313,https://x.com/noahzweben/status/2036961189763440999
8,Thariq,@trq212,2026-03-26T00:13:17.000Z,imessage is now available as a channel!,59,55,1000,120029,https://x.com/trq212/status/2036959638646866021
9,Thariq,@trq212,2026-03-26T00:13:17.000Z,read the docs here:,4,8,131,11026,https://x.com/trq212/status/2036959640022638922
10,Thariq,@trq212,2026-03-25T23:33:19.000Z,"We're starting ""What We Shipped,"" a monthly stream where we'll share our latest tips and talk about new Claude Code releases.

The first one is April 7th, come hang out with 
@dmwlff
 and me!",80,58,939,30617,https://x.com/trq212/status/2036949580148101478
11,Thariq,@trq212,2026-03-25T23:33:19.000Z,sign up here,6,1,55,7356,https://x.com/trq212/status/2036949581637050393
12,Thariq,@trq212,2026-03-25T23:53:34.000Z,it will also be recorded! if you register you'll get it sent to you automatically,2,,35,4692,https://x.com/trq212/status/2036954677666021582
13,gabriel,@gabriel1,2026-03-25T23:30:42.000Z,"codex, there is this complex feature X. extract the minimal logic required to run it into one file with minimal lines of code

the code should be maximally consumable, and above each line add a comment with current shape and/or example value it could be holding",16,15,534,27522,https://x.com/gabriel1/status/2036948922565091476
14,gabriel,@gabriel1,2026-03-25T23:30:42.000Z,i need to think so much more how to learn more effienctly with ai. can't believe i still ask it normal questions instead of things like above,4,1,94,3927,https://x.com/gabriel1/status/2036948923814993996
15,Anthropic,@AnthropicAI,2026-03-25T23:14:21.000Z,"New on the Engineering Blog: How we designed Claude Code auto mode.

Many Claude Code users let Claude work without permission prompts. Auto mode is a safer middle ground: we built and tested classifiers that make approval decisions instead.

Read more:",115,221,1300,92488,https://x.com/AnthropicAI/status/2036944806317088921
16,Google for Developers,@googledevs,2026-03-25T22:00:01.000Z,"Build high-fidelity designs and code-backed prototypes using natural language prompts. Stitch improves development workflows with instant clickable prototypes and voice-driven design.

 Natural language to code
 Instant prototype generation
 Voice capabilities and",7,5,33,3963,https://x.com/googledevs/status/2036926099788030333
17,Google for Developers,@googledevs,2026-03-25T22:00:07.000Z,Try Stitch:,,2,9,2640,https://x.com/googledevs/status/2036926124802928689
18,Google AI Developers,@googleaidevs,2026-03-25T21:58:30.000Z,"We’ve seen some interesting designs made in Stitch. 

Here are a few of them",3,5,108,14082,https://x.com/googleaidevs/status/2036925718169371092
19,Google AI Developers,@googleaidevs,2026-03-25T21:58:35.000Z,"OMG, @stitchbygoogle just released their new version, it's mind-blowing with just couple of prompt I achieved this.",1,1,13,3696,https://x.com/googleaidevs/status/2036925739010843035
20,Google AI Developers,@googleaidevs,2026-03-25T21:58:35.000Z,"Google Stitch is soo impressive.

It helped me build all the screens I needed for a meditation app, and the designs look nice. If I put more effort into prompting, it would look even more polished.

Now my only task is to use another tool to convert these designs into a real app.",,,9,3376,https://x.com/googleaidevs/status/2036925742320165081
21,Jerry Tworek,@MillionInt,2026-03-25T21:51:25.000Z,deep systems for deep learning,1,3,44,4014,https://x.com/MillionInt/status/2036923937167397050
22,Google Research,@GoogleResearch,2026-03-25T20:34:01.000Z,"Introducing Vibe Coding XR, a new rapid prototyping workflow that empowers Gemini Canvas w/ the XR Blocks framework to turn user prompts into interactive, physics-aware WebXR applications, allowing creators to quickly test intelligent spatial experiences →
https://
goo.gle/3PwNr1J",36,175,1000,67348,https://x.com/GoogleResearch/status/2036904458974871944
23,Demis Hassabis,@demishassabis,2026-03-25T20:22:39.000Z,"Perfect background music for flow state at 2am - made with the new Lyria 3 Pro. Google AI subscribers can try it in the 
@GeminiApp
 and developers can build with the API in 
@GoogleAIStudio
 - have fun!!",62,71,864,75325,https://x.com/demishassabis/status/2036901597343838434
24,Demis Hassabis,@demishassabis,2026-03-25T20:23:40.000Z,more info in the blog:,3,4,43,11417,https://x.com/demishassabis/status/2036901853922038005
25,Ksenia_TuringPost,@TheTuringPost,2026-03-23T00:17:33.000Z,"How coding agents are changing developer workflows?

The new inner loop of developers emerges. And the main question is how to optimize this AI-assisted coding loop centered around assistants like 
@OpenAI
's Codex, parallel task execution and reusable skills.


@bolinfest
 (Michael",4,11,86,15042,https://x.com/TheTuringPost/status/2035873551031644335
26,Gemini CLI,@geminicli,2026-03-25T20:10:39.000Z,"Quick update to clear up some questions about recent changes.

We’ve gotten a lot of questions on using Gemini CLI outside of the terminal. You can continue to use Gemini CLI via officially supported protocols, specifically ACP and A2A, in a local or remote terminal, and in our",22,26,251,41365,https://x.com/geminicli/status/2036898579290480908
27,Google for Developers,@googledevs,2026-03-25T19:45:03.000Z,"Provide coding agents with the Gemini API developer skill. 

The skill provides agents with the latest SDK knowledge:
 API feature sets
 Current models and SDKs
 Sample code
 Documentation links

Check out the research on how the Gemini API skill was built and evaluated",9,80,528,30800,https://x.com/googledevs/status/2036892135270539283
28,Google for Developers,@googledevs,2026-03-25T19:45:06.000Z,"A 117-prompt evaluation harness across Python and TypeScript measures performance improvement by comparing ""vanilla"" model outputs against those using the new system instructions and tools. This testing identifies exactly where the skill successfully prevents the use of legacy",2,7,41,5143,https://x.com/googledevs/status/2036892147496943762
29,Google for Developers,@googledevs,2026-03-25T19:45:08.000Z,"The top-performing gemini-3.1-pro-preview model showed strong efficacy across nearly all domains when the skill was enabled. While SDK Usage maintained a 95% pass rate, failures typically stemmed from complex requests or prompts explicitly targeting legacy Gemini 2.0 models.",,2,14,3993,https://x.com/googledevs/status/2036892158465052770
